Наименование услуги; Главное изображение; Длительность; Стоимость; Действующая скидка
Мезонити (Тредлифтинг); Услуги салона красоты\96.png; 1500 сек.; 2140; нет
Покрытие ногтей; Услуги салона красоты\ногти.png; 2400 сек.; 2410₽; 15%
Гавайский массаж Ломи-Ломи; Услуги салона красоты\массаж.jpg; 2100 сек.; 1040₽; 15%
Парафинотерапия; Услуги салона красоты\Парафинотерапия.jpg; 2100 сек.; 1180 руб.; 5%
Озонотерапия; Услуги салона красоты\face.png; 2100 сек.; 1740 рублей; 20%
Миндальный пилинг; Услуги салона красоты\piling.jpg; 2700 сек.; 2430₽; 15%
Покрытие ногтей гель-лаком; Услуги салона красоты\Покрытие ногтей гель-лаком.jpg; 900 сек.; 2100; 20%
Декорирование ресниц стразами; Услуги салона красоты\Ресницы.png; 50 мин.; 1920 руб.; 15%
Микротоковая терапия; Услуги салона красоты\face.png; 2700 сек.; 2410 рублей; 5%
Стрижка челки; Услуги салона красоты\стрижка.png; 35 мин.; 1930; 10%
Лазерный пилинг; Услуги салона красоты\piling.jpg; 20 мин.; 1650; 25%
Массаж лица; Услуги салона красоты\массаж.jpg; 3600 сек.; 2370 рублей; нет
Снятие лака; Услуги салона красоты\ногти.png; 2100 сек.; 1240; нет
Классический педикюр; Услуги салона красоты\Экспресс-педикюр.jpg; 2100 сек.; 2040 руб.; 25%
Классический массаж; Услуги салона красоты\массаж.jpg; 2700 сек.; 1120; 15%
Окрашивание бровей; Услуги салона красоты\Окрашивание бровей.jpg; 3600 сек.; 1120 руб.; 10%
Наращивание ногтей гелем; Услуги салона красоты\ногти.png; 40 мин.; 1540₽; 10%
Ботокс; Услуги салона красоты\96.png; 3000 сек.; 1820₽; 15%
Инъекционные методики; Услуги салона красоты\96.png; 2400 сек.; 1660; нет
Покраска ресниц; Услуги салона красоты\Ресницы.png; 1800 сек.; 2400₽; нет
Свадебная прическа; Услуги салона красоты\стрижка.png; 45 мин.; 2070₽; нет
Моделирование ресниц; Услуги салона красоты\Моделирование ресниц.jpg; 45 мин.; 2140 рублей; нет
Миостимуляция; Услуги салона красоты\face.png; 60 мин.; 2380₽; нет
Шугаринг; Услуги салона красоты\Шугаринг.jpg; 1800 сек.; 1400₽; нет
Укрепление ногтей гелем; Услуги салона красоты\Укрепление ногтей гелем.jpg; 45 мин.; 1260; нет
Солярий; Услуги салона красоты\soliarij.jpg; 3000 сек.; 1790 рублей; 10%
Моментальный лифтинг; Услуги салона красоты\face.png; 50 мин.; 2020 руб.; нет
Детский маникюр; Услуги салона красоты\ногти.png; 35 мин.; 1900 рублей; нет
Ультразвуковой пилинг; Услуги салона красоты\piling.jpg; 2700 сек.; 1440; 20%
ИК-сауна; Услуги салона красоты\ИК-сауна.jpg; 45 мин.; 1160₽; 20%
Контурная пластика; Услуги салона красоты\Контурная пластика.jpg; 2100 сек.; 1550 руб.; 20%
Декорирование нарощенных ресниц стразами; Услуги салона красоты\Декорирование нарощенных ресниц стразами.jpg; 45 мин.; 1130 рублей; нет
Депиляция воском; Услуги салона красоты\Депиляция воском.jpg; 30 мин.; 2330 рублей; 15%
Полировка ногтей; Услуги салона красоты\Полировка ногтей.jpg; 50 мин.; 2310 руб.; 15%
Фракционный лазер Palomar Emerge; Услуги салона красоты\face.png; 1500 сек.; 1720; 25%
Увлажнение с коллагеном; Услуги салона красоты\96.png; 55 мин.; 2490; нет
Массаж оздоровительный; Услуги салона красоты\массаж.jpg; 1200 сек.; 1440₽; нет
Общий массаж; Услуги салона красоты\массаж.jpg; 45 мин.; 1970 руб.; 25%
